Name,latitude,longitude,Location,Wikipedia.link,Picture.link
Great Pyramid of Giza,29.97916667,31.13416667,"Giza Necropolis, Egypt",http://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Kheops-Pyramid.jpg/300px-Kheops-Pyramid.jpg
Stonehenge,51.17861111,-1.826111111,"Amesbury, United Kingdom",http://en.wikipedia.org/wiki/Stonehenge,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Stonehenge%2C_Condado_de_Wiltshire%2C_Inglaterra%2C_2014-08-12%2C_DD_09.JPG/285px-Stonehenge%2C_Condado_de_Wiltshire%2C_Inglaterra%2C_2014-08-12%2C_DD_09.JPG
Lighthouse of Alexandria,31.21388889,29.88555556," Alexandria, Egypt",http://en.wikipedia.org/wiki/Lighthouse_of_Alexandria,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Lighthouse_-_Thiersch.png/220px-Lighthouse_-_Thiersch.png
Hanging Gardens of Babylon,33.5355,44.2475,Iraq,http://en.wikipedia.org/wiki/Hanging_Gardens_of_Babylon,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Hanging_Gardens_of_Babylon.jpg/350px-Hanging_Gardens_of_Babylon.jpg
Hagia Sophia,41.008548,28.979938,"Istanbul, Turkey",http://en.wikipedia.org/wiki/Hagia_Sophia,http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/250px-Hagia_Sophia_Mars_2013.jpg
Colossus of Rhodes,36.4511,28.2278,Greece,http://en.wikipedia.org/wiki/Colossus_of_Rhodes,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Colosse_de_Rhodes_%28Barclay%29.jpg/170px-Colosse_de_Rhodes_%28Barclay%29.jpg
Statue of Zeus at Olympia,37.63777778,21.63,Greece,http://en.wikipedia.org/wiki/Statue_of_Zeus_at_Olympia,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Statue_of_Zeus.jpg/220px-Statue_of_Zeus.jpg
Temple of Artemis at Ephesus,37.94972222,27.36388889,Turkey,http://en.wikipedia.org/wiki/Temple_of_Artemis,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Miniaturk_009.jpg/300px-Miniaturk_009.jpg
Golden Gate Bridge,37.81972222,-122.4786111,"San Francisco,  United States",http://en.wikipedia.org/wiki/Golden_Gate_Bridge,http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Golden_Gate_Bridge_0002.jpg/270px-Golden_Gate_Bridge_0002.jpg
CN Tower,43.6425,-78.61305556,"Toronto, Canada.",http://en.wikipedia.org/wiki/CN_Tower,http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toronto_-_ON_-_Toronto_Harbourfront7.jpg/240px-Toronto_-_ON_-_Toronto_Harbourfront7.jpg
Delta Works (Zuiderzee Works),51.65,3.72, Netherlands,http://en.wikipedia.org/wiki/Delta_Works,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/OosterscheldeKering.jpg/220px-OosterscheldeKering.jpg
Panama Canal,9.08,-79.68,Panama,http://en.wikipedia.org/wiki/Panama_Canal,https://upload.wikimedia.org/wikipedia/commons/7/7c/Panama.A2003087.1850.250m.jpg
Empire State Building,40.74833333,-73.98555556,"New York, United States",http://en.wikipedia.org/wiki/Empire_State_Building,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Empire_State_Building_by_David_Shankbone_crop.jpg/250px-Empire_State_Building_by_David_Shankbone_crop.jpg
Itaipu Dam,-24.59194444,-54.58888889, Brazil,http://en.wikipedia.org/wiki/Itaipu_Dam,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/ItaipuAerea2AAL.jpg/250px-ItaipuAerea2AAL.jpg
